year,inflation rate
1403,35.8
1402,47.4
۱۴۰۱,53.1
۱۴۰۰,۴۶.۲
۱۳۹۹,۴۷.۱
۱۳۹۸,۴۱.۲
۱۳۹۷,۳۱.۲
۱۳۹۶,۹.۶
۱۳۹۵,۹.
۱۳۹۴,۱۱.۹
۱۳۹۳,۱۵.۶
۱۳۹۲,۳۴.۷
۱۳۹۱,۳۰.۵
۱۳۹۰,۲۱.۵
۱۳۸۹,۱۲.۴
۱۳۸۸,۱۰.۸
۱۳۸۷,۲۵.۴
۱۳۸۶,۱۸.۴
۱۳۸۵,۱۱.۹
۱۳۸۴,۱۰.۴
۱۳۸۳,۱۵.۲
۱۳۸۲,۱۵.۶
۱۳۸۱,۱۵.۸
۱۳۸۰,۱۱.۴
۱۳۷۹,۱۲.۶
۱۳۷۸,۲۰.۱
۱۳۷۷,۱۸.۱
۱۳۷۶,۱۷.۳
۱۳۷۵,۲۳.۲
۱۳۷۴,۴۹.۴
۱۳۷۳,۳۵.۲
۱۳۷۲,۲۲.۹
۱۳۷۱,۲۴.۴
۱۳۷۰,۲۰.۷
۱۳۶۹,۹.
۱۳۶۸,۱۷.۴
۱۳۶۷,۲۸.۹
۱۳۶۶,۲۷.۷
۱۳۶۵,۲۳.۷
۱۳۶۴,۶.۹
۱۳۶۳,۱۰.۴
۱۳۶۲,۱۴.۸
۱۳۶۱,۱۹.۲
۱۳۶۰,۲۲.۸
۱۳۵۹,۲۳.۵
۱۳۵۸,۱۱.۴
۱۳۵۷,۱۰.
۱۳۵۶,۲۵.۱
۱۳۵۵,۱۶.۶
۱۳۵۴,۹.۹
۱۳۵۳,۱۵.۵
۱۳۵۲,۱۱.۲
۱۳۵۱,۶.۳
۱۳۵۰,۵.۵
۱۳۴۹,۱.۵
۱۳۴۸,۳.۶
۱۳۴۷,۱.۵
۱۳۴۶,۰.۸
۱۳۴۵,۰.۸
۱۳۴۴,۰.۳
۱۳۴۳,۴.۵
۱۳۴۲,۱.
۱۳۴۱,۰.۹
۱۳۴۰,۱.۶
۱۳۳۹,۷.۹
۱۳۳۸,۱۳.
۱۳۳۷,۱.
۱۳۳۶,۴.۴
۱۳۳۵,۸.۸
۱۳۳۴,۱.۷
۱۳۳۳,۱۵.۹
۱۳۳۲,۹.۲
۱۳۳۱,۷.۲
۱۳۳۰,۸.۳
۱۳۲۹,-۱۷.۲
۱۳۲۸,۲.۳
۱۳۲۷,۱۱.۱
۱۳۲۶,۶.۶
۱۳۲۵,-۱۱.۵
۱۳۲۴,-۱۴.۴
۱۳۲۳,۲.۷
۱۳۲۲,۱۱۰.۵
۱۳۲۱,۹۶.۲
۱۳۲۰,۴۹.۵
۱۳۱۹,۱۳.۸
۱۳۱۸,۸.
۱۳۱۷,۸.۸
۱۳۱۶,۲۱.۲
