year,inflation rate,monney supply(TB),monney supply growth(%),trade balance(BD),oil income(BD),income diff
1403,35.8,109210,39%,-14.5,30,15.5
1402,47.4,78800,25%,-16.7,36,19.3
1401,53.1,62820,30%,-6.2,55,48.8
1400,46.2,48320,82%,-4.8,39,34.2
1399,47.1,26514,34%,-14.4,2,-12.4
1398,41.2,19800,25%,-18.2,8.5,-9.7
1397,31.2,15828,20%,2.9,55,57.9
1396,9.6,13149,24%,-4.9,65,60.1
1395,9,10595,30%,1.2,63,64.2
1394,11.9,8166,23%,-7.6,63,55.4
1393,15.6,6654,41%,-15.7,40,24.3
1392,34.7,4729.5,26%,-17,60,43
1391,30.5,3767,25%,-19.6,63,43.4
1390,21.5,3024,23%,-23.7,65,41.3
1389,12.4,2466,25%,-29.2,100,70.8
1388,10.8,1970.5,21%,-33,70,37
1387,25.4,1622,21%,-37.5,70,32.5
1386,18.4,1341,40%,-33.1,81,47.9
1385,11.9,961,37%,-28.7,70,41.3
1384,10.4,704,28%,-28.7,50,21.3
1383,15.2,552,29%,-28.3,40,11.7
1382,15.6,427,26%,-20.3,30,9.7
1381,15.8,339,29%,-17.3,25,7.7
1380,11.4,262.8,32%,-13.6,25,11.4
,,198.5,,,,
